# Ambiente de execução
# Linux cibsnotebook 7.2.6-arch2-1 #1 SMP PREEMPT_DYNAMIC Mon, 14 Sep 2026 22:41:30 +0000 x86_64 GNU/Linux
# Compilador: gcc (GCC) 16.2.1 20260810
# CPU: Intel(R) Core(TM) 7 240H
# CPUs lógicas: 16
# Governador: performance
# Repetições por config: 5

bloco,politica,chunk,threads,largura,altura,max_iter,rep,tempo_calculo,fator_balanceamento
zoom,dynamic,1,16,4096,4096,5000,1,0.259494,1.0041
zoom,dynamic,1,16,4096,4096,5000,2,0.254695,1.0049
zoom,dynamic,1,16,4096,4096,5000,3,0.260074,1.0045
zoom,dynamic,1,16,4096,4096,5000,4,0.279164,1.0046
zoom,dynamic,1,16,4096,4096,5000,5,0.260484,1.0030
zoom,dynamic,16,16,4096,4096,5000,1,0.270028,1.0510
zoom,dynamic,16,16,4096,4096,5000,2,0.261454,1.0527
zoom,dynamic,16,16,4096,4096,5000,3,0.267783,1.0539
zoom,dynamic,16,16,4096,4096,5000,4,0.251022,1.0387
zoom,dynamic,16,16,4096,4096,5000,5,0.258576,1.0414
zoom,guided,1,16,4096,4096,5000,1,0.330988,1.3100
zoom,guided,1,16,4096,4096,5000,2,0.296473,1.2905
zoom,guided,1,16,4096,4096,5000,3,0.283044,1.2021
zoom,guided,1,16,4096,4096,5000,4,0.264443,1.1070
zoom,guided,1,16,4096,4096,5000,5,0.289245,1.1825
zoom,guided,32,16,4096,4096,5000,1,0.341350,1.4341
zoom,guided,32,16,4096,4096,5000,2,0.303268,1.3273
zoom,guided,32,16,4096,4096,5000,3,0.269687,1.1303
zoom,guided,32,16,4096,4096,5000,4,0.311378,1.2672
zoom,guided,32,16,4096,4096,5000,5,0.305441,1.2907
